iter	Passed	Remaining
0	13	4106
1	25	3762
2	38	3833
3	51	3781
4	63	3772
5	75	3689
6	85	3593
7	99	3629
8	112	3623
9	123	3594
10	135	3548
11	148	3561
12	162	3591
13	176	3600
14	189	3596
15	201	3581
16	213	3554
17	226	3546
18	238	3521
19	249	3491
20	261	3473
21	274	3464
22	284	3431
23	297	3417
24	309	3408
25	321	3390
26	332	3361
27	345	3355
28	357	3342
29	369	3328
30	380	3303
31	394	3305
32	407	3301
33	419	3284
34	430	3260
35	442	3246
36	454	3228
37	465	3210
38	476	3188
39	488	3173
40	500	3161
41	511	3140
42	523	3127
43	536	3124
44	551	3125
45	563	3110
46	575	3097
47	588	3091
48	602	3085
49	615	3076
50	626	3060
51	639	3051
52	652	3041
53	663	3023
54	674	3004
55	686	2991
56	699	2980
57	710	2965
58	721	2948
59	733	2933
60	745	2921
61	756	2903
62	768	2890
63	780	2877
64	793	2869
65	804	2852
66	816	2838
67	828	2827
68	839	2811
69	851	2797
70	864	2786
71	876	2775
72	888	2762
73	900	2751
74	912	2737
75	925	2727
76	936	2711
77	948	2698
78	960	2687
79	972	2673
80	982	2657
81	994	2643
82	1006	2631
83	1016	2614
84	1028	2601
85	1041	2591
86	1052	2575
87	1063	2562
88	1075	2549
89	1086	2534
90	1099	2524
91	1110	2510
92	1122	2498
93	1133	2483
94	1144	2469
95	1157	2459
96	1170	2450
97	1183	2440
98	1194	2426
99	1206	2413
100	1219	2401
101	1229	2385
102	1240	2372
103	1252	2361
104	1262	2345
105	1275	2335
106	1287	2322
107	1300	2312
108	1312	2299
109	1324	2287
110	1337	2277
111	1350	2266
112	1361	2252
113	1372	2238
114	1384	2227
115	1395	2213
116	1406	2200
117	1418	2188
118	1431	2176
119	1441	2162
120	1453	2150
121	1466	2139
122	1478	2127
123	1489	2113
124	1500	2100
125	1512	2088
126	1523	2075
127	1535	2063
128	1547	2051
129	1560	2040
130	1576	2033
131	1589	2022
132	1601	2010
133	1614	1999
134	1626	1988
135	1636	1973
136	1649	1962
137	1662	1951
138	1674	1939
139	1688	1930
140	1700	1917
141	1713	1906
142	1726	1895
143	1737	1882
144	1749	1869
145	1760	1857
146	1773	1845
147	1783	1832
148	1795	1820
149	1808	1808
150	1820	1796
151	1831	1782
152	1842	1770
153	1854	1758
154	1865	1745
155	1879	1735
156	1892	1723
157	1903	1711
158	1914	1697
159	1926	1685
160	1939	1674
161	1951	1662
162	1965	1652
163	1977	1639
164	1989	1627
165	2001	1615
166	2011	1602
167	2023	1590
168	2036	1578
169	2048	1566
170	2060	1554
171	2071	1541
172	2083	1529
173	2097	1518
174	2108	1506
175	2120	1493
176	2132	1481
177	2144	1469
178	2156	1457
179	2168	1445
180	2180	1433
181	2190	1420
182	2202	1408
183	2215	1396
184	2225	1383
185	2236	1370
186	2249	1359
187	2261	1347
188	2271	1334
189	2283	1321
190	2296	1310
191	2306	1297
192	2317	1284
193	2329	1272
194	2341	1261
195	2353	1248
196	2365	1236
197	2377	1224
198	2388	1212
199	2401	1200
200	2411	1187
201	2423	1175
202	2434	1163
203	2445	1150
204	2457	1139
205	2468	1126
206	2481	1115
207	2494	1103
208	2506	1091
209	2516	1078
210	2528	1066
211	2541	1054
212	2554	1043
213	2566	1031
214	2577	1019
215	2590	1007
216	2603	995
217	2615	983
218	2627	971
219	2641	960
220	2653	948
221	2664	936
222	2677	924
223	2689	912
224	2701	900
225	2712	888
226	2724	876
227	2738	864
228	2750	852
229	2762	840
230	2773	828
231	2785	816
232	2796	804
233	2808	792
234	2820	780
235	2832	768
236	2842	755
237	2854	743
238	2867	731
239	2880	720
240	2891	707
241	2903	695
242	2916	684
243	2928	672
244	2939	659
245	2951	647
246	2963	635
247	2974	623
248	2985	611
249	2998	599
250	3008	587
251	3020	575
252	3032	563
253	3045	551
254	3056	539
255	3068	527
256	3080	515
257	3092	503
258	3111	492
259	3126	480
260	3138	468
261	3150	456
262	3163	445
263	3175	432
264	3185	420
265	3198	408
266	3211	396
267	3222	384
268	3233	372
269	3245	360
270	3258	348
271	3268	336
272	3280	324
273	3293	312
274	3305	300
275	3315	288
276	3326	276
277	3339	264
278	3350	252
279	3362	240
280	3374	228
281	3386	216
282	3397	204
283	3408	192
284	3420	180
285	3431	167
286	3443	155
287	3455	143
288	3468	132
289	3479	119
290	3491	107
291	3503	95
292	3518	84
293	3530	72
294	3543	60
295	3555	48
296	3567	36
297	3579	24
298	3590	12
299	3603	0
