PRIMARY_OFFENCE,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_YEAR,REPORT_DOW,REPORT_DAY,REPORT_HOUR,DIVISION,PREMISES_TYPE,BIKE_MAKE,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,NEIGHBOURHOOD_158,NEIGHBOURHOOD_140,LAT_WGS84
8,2,4,26,360,19,2014,6,1,17,3,1,356,5,21.0,240,1300.0,0,57,123,43.64002068
45,4,6,1,1,18,2014,6,1,18,3,3,1086,7,1.0,10,687.0,0,109,95,43.6605248
67,4,6,1,1,7,2014,6,1,7,3,0,1028,3,10.0,10,687.0,0,124,110,43.63765719
67,2,6,25,359,16,2014,4,2,16,12,0,147,3,21.0,253,1500.0,1,36,23,43.65237659
67,4,6,1,1,12,2014,4,2,20,13,0,409,4,9.0,36,1019.0,0,57,123,43.64277218
67,11,1,30,273,0,2014,4,2,12,3,0,749,3,21.0,10,750.0,0,74,62,43.64896379
67,2,1,30,364,17,2014,4,2,8,14,5,549,4,24.0,253,500.0,0,10,9,43.71842476
67,2,6,25,359,10,2014,4,2,14,12,5,96,10,25.0,216,400.0,1,21,19,43.66728841
67,2,5,31,365,0,2014,0,3,16,12,0,564,5,18.0,10,1500.0,0,36,23,43.65180399
67,2,5,31,365,0,2014,0,3,16,12,0,776,5,18.0,10,1200.0,0,36,23,43.65180399
67,5,1,1,182,0,2014,0,3,16,7,1,769,7,10.0,192,600.0,0,80,68,43.73114478
67,4,0,3,3,8,2014,2,4,18,2,4,776,3,18.0,135,560.0,1,67,56,43.68593171
67,4,2,4,4,18,2014,2,4,18,12,0,672,7,21.0,36,200.0,0,25,23,43.66378
67,2,1,23,357,9,2014,3,5,9,12,5,298,1,23.0,118,1000.0,1,36,23,43.6585105
60,4,2,4,4,20,2014,3,5,18,14,3,411,3,21.0,127,900.0,1,82,70,43.70586987
46,4,3,5,5,21,2014,1,6,12,7,3,1121,8,0.0,216,0.0,0,44,39,43.71860236
8,2,2,28,362,16,2014,1,6,20,7,3,401,3,0.0,268,1500.0,1,40,130,43.7793075
67,9,0,22,326,8,2014,5,7,13,16,0,411,4,3.0,280,1300.0,1,125,111,43.66227352
67,2,0,27,361,20,2014,6,8,9,3,5,37,1,1.0,216,3300.0,0,138,123,43.64696529
10,4,5,7,7,8,2014,6,8,11,16,4,411,3,21.0,232,150.0,0,125,111,43.66032544
67,4,3,5,5,23,2014,6,8,15,12,1,1152,1,23.0,10,1800.0,0,25,23,43.6618755
68,4,6,8,8,20,2014,6,8,21,12,0,776,7,21.0,10,479.0,0,93,79,43.6565283
67,4,0,10,10,6,2014,0,10,15,13,5,1028,4,24.0,135,400.0,1,126,123,43.64155728
67,4,0,10,10,9,2014,0,10,17,3,5,322,8,0.0,10,800.0,1,74,62,43.64943899
67,4,2,11,11,7,2014,2,11,21,3,3,173,4,5.0,36,200.0,0,3,3,43.67001422
67,4,2,11,11,7,2014,2,11,21,3,3,732,4,9.0,10,200.0,0,3,3,43.67001422
67,6,4,6,157,9,2014,2,11,10,13,1,1109,7,7.0,10,700.0,1,138,123,43.64605319
67,4,2,11,11,23,2014,1,13,17,15,0,265,3,18.0,49,900.0,1,19,17,43.68852459
67,4,1,13,13,6,2014,1,13,6,0,4,549,5,10.0,10,1100.0,1,83,71,43.64630249
67,4,6,8,8,17,2014,1,13,17,7,0,147,5,20.0,253,2399.0,0,4,130,43.75593079
67,4,5,14,14,10,2014,5,14,16,13,1,1109,7,10.0,180,2000.0,1,153,6,43.65027639
