OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
37714,GO-20254572,THEFT UNDER,1/1/2025 5:00:00 AM,2025,January,Wednesday,1,1,13,1/1/2025 5:00:00 AM,2025,January,Wednesday,1,1,17,D11,"Apartment (Rooming House, Condo)",Apartment,OTHER,NINEBOY G2 MX,SC,12,BLKGRY,1150,STOLEN,NSA,NSA,NSA,NSA,0,0,6.32778044253391E-09,5.6649236412909E-09
37715,GO-20259000175,THEFT UNDER - BICYCLE,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,13,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GI,LIV,MT,,PLE,0,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.40187233,43.64192228,-8838975.996,5410195.019
37716,GO-20255096,THEFT OF EBIKE UNDER $5000,1/1/2025 5:00:00 AM,2025,January,Wednesday,1,1,17,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,13,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EUY,STEP THROUGH,EL,1,WHI,1100,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.38091295,43.6563248,-8836642.808,5412410.779
37717,GO-20259000083,THEFT UNDER - BICYCLE,12/20/2024 5:00:00 AM,2024,December,Friday,20,355,1,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,11,D11,"Apartment (Rooming House, Condo)",Apartment,UK,,RG,,BLK,800,STOLEN,086,Roncesvalles (86),086,Roncesvalles (86),-79.44490182,43.6499736,-8843766.017,5411433.612
37718,GO-20259000282,THEFT UNDER - BICYCLE,12/29/2024 5:00:00 AM,2024,December,Sunday,29,364,9,1/3/2025 5:00:00 AM,2025,January,Friday,3,3,17,D53,"Apartment (Rooming House, Condo)",Apartment,UK,CERVELO R5,RC,,WHI,2000,STOLEN,095,Annex (95),095,Annex (95),-79.40529134,43.67030781,-8839356.598,5414562.511
37719,GO-202520468,THEFT UNDER - BICYCLE,1/3/2025 5:00:00 AM,2025,January,Friday,3,3,17,1/3/2025 5:00:00 AM,2025,January,Friday,3,3,20,D52,"Apartment (Rooming House, Condo)",Apartment,OTHER,,RG,3,BLK,200,STOLEN,166,St Lawrence-East Bayfront-The Islands ,077,Waterfront Communities-The Island (77),-79.37546445,43.64330948,-8836036.284,5410408.411
37720,GO-202516980,THEFT UNDER - BICYCLE,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,17,1/3/2025 5:00:00 AM,2025,January,Friday,3,3,14,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,NCM,C7,OT,1,BLK,1800,STOLEN,163,Fort York-Liberty Village (163),082,Niagara (82),-79.41081443,43.63926868,-8839971.426,5409786.833
37721,GO-202521112,THEFT OVER - BICYCLE,12/22/2024 5:00:00 AM,2024,December,Sunday,22,357,9,1/4/2025 5:00:00 AM,2025,January,Saturday,4,4,9,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,TAMARACK,CUSTOM,RC,10,BLU,5200,STOLEN,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.39344737,43.69161615,-8838038.133,5417842.439
37722,GO-20259000360,THEFT UNDER - BICYCLE,12/23/2024 5:00:00 AM,2024,December,Monday,23,358,0,1/4/2025 5:00:00 AM,2025,January,Saturday,4,4,13,D52,"Apartment (Rooming House, Condo)",Apartment,GI,3C9909,RG,,SIL,0,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39745334,43.6564915,-8838484.076,5412436.429
37723,GO-202525866,THEFT UNDER - BICYCLE,1/4/2025 5:00:00 AM,2025,January,Saturday,4,4,15,1/4/2025 5:00:00 AM,2025,January,Saturday,4,4,16,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MOVIN',TEMPO,EL,1,BLK,3000,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.37546935,43.65246519,-8836036.829,5411816.945
37724,GO-202521112,THEFT OVER - BICYCLE,12/22/2024 5:00:00 AM,2024,December,Sunday,22,357,9,1/4/2025 5:00:00 AM,2025,January,Saturday,4,4,9,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SOMA,DOUBLE CROSS,BM,10,BLK,2500,STOLEN,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.39344737,43.69161615,-8838038.133,5417842.439
37725,GO-202533670,THEFT UNDER - BICYCLE,11/30/2024 5:00:00 AM,2024,November,Saturday,30,335,0,1/5/2025 5:00:00 AM,2025,January,Sunday,5,5,19,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MARIN OR MARINO,4 CORNERS,TO,27,BLKRED,2750,STOLEN,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.41027643,43.6595546,-8839911.536,5412907.743
37726,GO-20259000609,THEFT UNDER - BICYCLE,1/6/2025 5:00:00 AM,2025,January,Monday,6,6,11,1/6/2025 5:00:00 AM,2025,January,Monday,6,6,13,D14,"Apartment (Rooming House, Condo)",Apartment,GI,ESCAPE 3,RG,,BLK,676,STOLEN,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.42062823,43.66926472,-8841063.893,5414401.98
37727,GO-202537453,B&E,1/3/2025 5:00:00 AM,2025,January,Friday,3,3,0,1/6/2025 5:00:00 AM,2025,January,Monday,6,6,10,D11,"Apartment (Rooming House, Condo)",Apartment,CANN,TOPSTONE,RG,6,BGE,2500,STOLEN,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.45002642,43.66598512,-8844336.484,5413897.274
37728,GO-20259000825,THEFT UNDER - BICYCLE,11/18/2024 5:00:00 AM,2024,November,Monday,18,323,18,1/7/2025 5:00:00 AM,2025,January,Tuesday,7,7,16,D51,"Apartment (Rooming House, Condo)",Apartment,OT,FYXATION,RG,1,BLU,700,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.37943925,43.66888961,-8836478.757,5414344.252
37729,GO-202544789,THEFT UNDER - BICYCLE,1/6/2025 5:00:00 AM,2025,January,Monday,6,6,18,1/7/2025 5:00:00 AM,2025,January,Tuesday,7,7,8,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,UNKNOWN MAKE,GT,MT,21,GRY,,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.38676075,43.67023281,-8837293.782,5414550.968
37730,GO-202553562,THEFT UNDER - BICYCLE,1/7/2025 5:00:00 AM,2025,January,Tuesday,7,7,21,1/8/2025 5:00:00 AM,2025,January,Wednesday,8,8,11,D13,"Apartment (Rooming House, Condo)",Apartment,TREK,,MT,10,RED,400,STOLEN,094,Wychwood (94),094,Wychwood (94),-79.42199443,43.68247952,-8841215.978,5416435.922
37731,GO-20259000961,THEFT UNDER - BICYCLE,1/6/2025 5:00:00 AM,2025,January,Monday,6,6,12,1/8/2025 5:00:00 AM,2025,January,Wednesday,8,8,14,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,,RG,,DGR,1462,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.38919774,43.64527548,-8837565.067,5410710.847
37732,GO-20259000929,THEFT UNDER - BICYCLE,1/8/2025 5:00:00 AM,2025,January,Wednesday,8,8,0,1/8/2025 5:00:00 AM,2025,January,Wednesday,8,8,11,D55,Nursing Home,Other,NO,NORCO VALENCE C,RC,24,BLK,1800,STOLEN,057,Broadview North (57),057,Broadview North (57),-79.3572131,43.68293057,-8834004.553,5416505.353
37733,GO-202573519,THEFT UNDER - BICYCLE,1/2/2025 5:00:00 AM,2025,January,Thursday,2,2,11,1/10/2025 5:00:00 AM,2025,January,Friday,10,10,22,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RALEIGH,,MT,1,,25,STOLEN,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3669858,43.70923066,-8835092.445,5420554.668
37734,GO-202569494,B&E,1/9/2025 5:00:00 AM,2025,January,Thursday,9,9,7,1/10/2025 5:00:00 AM,2025,January,Friday,10,10,12,D52,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,SEGWAY,NINEBOT F2 KICK,EL,1,GRY,9,STOLEN,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.38616184,43.6577626,-8837227.113,5412632.008
