Original Category,Encoded Value
BGE,0
BGEBLK,1
BGEGRY,2
BGEONG,3
BGESIL,4
BGEYEL,5
BLACK,6
BLACK&,7
BLACVK,8
BLK,9
BLK WH,10
BLKBGE,11
BLKBLU,12
BLKBRN,13
BLKBRZ,14
BLKCPR,15
BLKDBL,16
BLKDGR,17
BLKGLD,18
BLKGRN,19
BLKGRY,20
BLKLBL,21
BLKLGR,22
BLKMRN,23
BLKMUL,24
BLKONG,25
BLKOTH,26
BLKPLE,27
BLKPNK,28
BLKRED,29
BLKSIL,30
BLKTAN,31
BLKTRQ,32
BLKWHI,33
BLKYEL,34
BLU,35
BLUBLK,36
BLUBRN,37
BLUCPR,38
BLUDBL,39
BLUE,40
BLUGRN,41
BLUGRY,42
BLULBL,43
BLUONG,44
BLUOTH,45
BLUPLE,46
BLUPNK,47
BLURED,48
BLUSIL,49
BLUTAN,50
BLUTRQ,51
BLUTWH,52
BLUWHI,53
BLUYEL,54
BRN,55
BRNBGE,56
BRNBLK,57
BRNGLD,58
BRNGRY,59
BRNMRN,60
BRNONG,61
BRNSIL,62
BRNWHI,63
BRNYEL,64
BRZ,65
BRZBLK,66
BRZCPR,67
BRZGRN,68
BRZGRY,69
BRZWHI,70
BUR,71
BURGUN,72
CELEST,73
CPR,74
CPRBRN,75
CPRGLD,76
CPRONG,77
CPRSIL,78
CRM,79
CRMBLU,80
CRMBRN,81
CRMWHI,82
DBL,83
DBLBLK,84
DBLDGR,85
DBLGRY,86
DBLLBL,87
DBLPLE,88
DBLRED,89
DBLSIL,90
DBLWHI,91
DBLYEL,92
DGR,93
DGRBLU,94
DGRGLD,95
DGRGRN,96
DGRGRY,97
DGRLBL,98
DGRONG,99
DGRRED,100
DGRSIL,101
DGRYEL,102
FRY,103
GLD,104
GLDBGE,105
GLDBLK,106
GLDBRN,107
GLDGRN,108
GLDGRY,109
GLDONG,110
GLDOTH,111
GLDSIL,112
GLDWHI,113
GREEN,114
GREY,115
GRN,116
GRNBLK,117
GRNBLU,118
GRNBRN,119
GRNDGR,120
GRNGLD,121
GRNGRY,122
GRNLBL,123
GRNLGR,124
GRNMRN,125
GRNONG,126
GRNPLE,127
GRNPNK,128
GRNRED,129
GRNSIL,130
GRNWHI,131
GRNYEL,132
GRY,133
GRYBLK,134
GRYBLU,135
GRYBRN,136
GRYCPR,137
GRYGLD,138
GRYGRN,139
GRYLBL,140
GRYLGR,141
GRYMUL,142
GRYONG,143
GRYOTH,144
GRYPLE,145
GRYPNK,146
GRYRED,147
GRYSIL,148
GRYTRQ,149
GRYWHI,150
GRYYEL,151
LBL,152
LBLDBL,153
LBLGRY,154
LBLMRN,155
LBLOTH,156
LBLPLE,157
LBLSIL,158
LBLWHI,159
LGR,160
LGRBLU,161
LGRGRY,162
LGROTH,163
LGRPLE,164
LGRTRQ,165
LGRWHI,166
LGRYEL,167
MRN,168
MRNBLK,169
MRNGLD,170
MRNGRN,171
MRNGRY,172
MRNRED,173
MRNSIL,174
MRNWHI,175
MRNYEL,176
MUL,177
ONG,178
ONGBLK,179
ONGBLU,180
ONGGRY,181
ONGRED,182
ONGSIL,183
ONGTRQ,184
ONGWHI,185
ONGYEL,186
OTH,187
OTHBLK,188
OTHRED,189
PLE,190
PLEBLK,191
PLEBLU,192
PLEGRN,193
PLEGRY,194
PLEMRN,195
PLEONG,196
PLEPNK,197
PLERED,198
PLESIL,199
PLEWHI,200
PLEYEL,201
PNK,202
PNKBLU,203
PNKGRY,204
PNKPLE,205
PNKRED,206
PNKSIL,207
PNKTRQ,208
PNKWHI,209
PNKYEL,210
PURP,211
RED,212
REDBLK,213
REDBLU,214
REDBRN,215
REDGLD,216
REDGRN,217
REDGRY,218
REDMRN,219
REDPNK,220
REDSIL,221
REDWHI,222
REDYEL,223
REWHI,224
SIL,225
SILBGE,226
SILBLK,227
SILBLU,228
SILGRN,229
SILGRY,230
SILLBL,231
SILLGR,232
SILONG,233
SILPLE,234
SILPNK,235
SILRED,236
SILTRQ,237
SILWHI,238
SILYEL,239
TAN,240
TEAL,241
TRQ,242
TRQBLK,243
TRQBLU,244
TRQGRY,245
TRQSIL,246
TRQWHI,247
WHI,248
WHIBLK,249
WHIBLU,250
WHIBRN,251
WHIGLD,252
WHIGRN,253
WHIGRY,254
WHILBL,255
WHIONG,256
WHIOTH,257
WHIPLE,258
WHIPNK,259
WHIRED,260
WHISIL,261
WHITE,262
WHITRQ,263
WHIYEL,264
WHT,265
YEL,266
YELBLK,267
YELBLU,268
YELGRN,269
YELGRY,270
YELONG,271
YELOTH,272
YELRED,273
YELSIL,274
YELWHI,275
