Original Category,Encoded Value
Agincourt North (129),0
Agincourt South-Malvern West (128),1
Alderwood (20),2
Annex (95),3
Avondale (153),4
Banbury-Don Mills (42),5
Bathurst Manor (34),6
Bay-Cloverhill (169),7
Bayview Village (52),8
Bayview Woods-Steeles (49),9
Bedford Park-Nortown (39),10
Beechborough-Greenbrook (112),11
Bendale South (157),12
Bendale-Glen Andrew (156),13
Birchcliffe-Cliffside (122),14
Black Creek (24),15
Blake-Jones (69),16
Briar Hill-Belgravia (108),17
Bridle Path-Sunnybrook-York Mills (41),18
Broadview North (57),19
Brookhaven-Amesbury (30),20
Cabbagetown-South St.James Town (71),21
Caledonia-Fairbank (109),22
Casa Loma (96),23
Centennial Scarborough (133),24
Church-Wellesley (167),25
Clairlea-Birchmount (120),26
Clanton Park (33),27
Cliffcrest (123),28
Corso Italia-Davenport (92),29
Danforth (66),30
Danforth East York (59),31
Don Valley Village (47),32
Dorset Park (126),33
Dovercourt Village (172),34
Downsview (155),35
Downtown Yonge East (168),36
Dufferin Grove (83),37
East End-Danforth (62),38
East L'Amoreaux (148),39
East Willowdale (152),40
Edenbridge-Humber Valley (9),41
Eglinton East (138),42
Elms-Old Rexdale (5),43
Englemount-Lawrence (32),44
Eringate-Centennial-West Deane (11),45
Etobicoke City Centre (159),46
Etobicoke West Mall (13),47
Fenside-Parkwoods (150),48
Flemingdon Park (44),49
Forest Hill North (102),50
Forest Hill South (101),51
Fort York-Liberty Village (163),52
Glenfield-Jane Heights (25),53
Golfdale-Cedarbrae-Woburn (141),54
Greenwood-Coxwell (65),55
Guildwood (140),56
Harbourfront-CityPlace (165),57
Henry Farm (53),58
High Park North (88),59
High Park-Swansea (87),60
Highland Creek (134),61
Hillcrest Village (48),62
Humber Bay Shores (161),63
Humber Heights-Westmount (8),64
Humber Summit (21),65
Humbermede (22),66
Humewood-Cedarvale (106),67
Ionview (125),68
Islington (158),69
Junction Area (90),70
Junction-Wallace Emerson (171),71
Keelesdale-Eglinton West (110),72
Kennedy Park (124),73
Kensington-Chinatown (78),74
Kingsview Village-The Westway (6),75
Kingsway South (15),76
L'Amoreaux West (147),77
Lambton Baby Point (114),78
Lansing-Westgate (38),79
Lawrence Park North (105),80
Lawrence Park South (103),81
Leaside-Bennington (56),82
Little Portugal (84),83
Long Branch (19),84
Malvern East (146),85
Malvern West (145),86
Maple Leaf (29),87
Markland Wood (12),88
Milliken (130),89
Mimico-Queensway (160),90
Morningside (135),91
Morningside Heights (144),92
Moss Park (73),93
Mount Dennis (115),94
Mount Olive-Silverstone-Jamestown (2),95
Mount Pleasant East (99),96
NSA,97
New Toronto (18),98
Newtonbrook East (50),99
Newtonbrook West (36),100
North Riverdale (68),101
North St.James Town (74),102
North Toronto (173),103
O'Connor-Parkview (54),104
Oakdale-Beverley Heights (154),105
Oakridge (121),106
Oakwood Village (107),107
Old East York (58),108
Palmerston-Little Italy (80),109
Parkwoods-O'Connor Hills (149),110
Pelmo Park-Humberlea (23),111
Playter Estates-Danforth (67),112
Pleasant View (46),113
Princess-Rosethorn (10),114
Regent Park (72),115
Rexdale-Kipling (4),116
Rockcliffe-Smythe (111),117
Roncesvalles (86),118
Rosedale-Moore Park (98),119
Runnymede-Bloor West Village (89),120
Rustic (28),121
Scarborough Village (139),122
South Eglinton-Davisville (174),123
South Parkdale (85),124
South Riverdale (70),125
St Lawrence-East Bayfront-The Islands ,126
St.Andrew-Windfields (40),127
Steeles (116),128
Stonegate-Queensway (16),129
Tam O'Shanter-Sullivan (118),130
Taylor-Massey (61),131
The Beaches (63),132
Thistletown-Beaumond Heights (3),133
Thorncliffe Park (55),134
Trinity-Bellwoods (81),135
University (79),136
Victoria Village (43),137
Wellington Place (164),138
West Hill (136),139
West Humber-Clairville (1),140
West Queen West (162),141
West Rouge (143),142
Westminster-Branson (35),143
Weston (113),144
Weston-Pelham Park (91),145
Wexford/Maryvale (119),146
Willowdale West (37),147
Willowridge-Martingrove-Richview (7),148
Woburn North (142),149
Woodbine Corridor (64),150
Woodbine-Lumsden (60),151
Wychwood (94),152
Yonge-Bay Corridor (170),153
Yonge-Doris (151),154
Yonge-Eglinton (100),155
Yonge-St.Clair (97),156
York University Heights (27),157
Yorkdale-Glen Park (31),158
