Original Category,Encoded Value
1 FASHION,0
2005 HARDROCK,1
2016 GIANT,2
6 UK,3
6KU,4
9 BOT,5
9 BOT MAX,6
9 BOTS,7
9BOT,8
A Z SOURCES,9
A-Z SOURCES,10
A2B,11
ABC,12
ABIBABA,13
ABICI,14
ACHIELLE,15
ACID CUBE,16
ADAMS,17
ADVENTURE,18
AGGRESSER,19
AGGRESSOR,20
AGRESSOR,21
AGTA,22
AKEZ,23
ALGONQUIN,24
ALIBI,25
ALIEN,26
ALIGHT,27
ALL CITY,28
ALL-CITY,29
ALLANT,30
ALLEZ,31
ALTER EGO,32
ALVAS,33
AMEGO,34
AMEGO BOLD,35
AMIGO,36
AMIGO BOLD RED,37
AMIRIN,38
AMIS,39
AMMO,40
AMO,41
ANCHEER,42
AOSTIR,43
AOSTIRMOTOR,44
APEGO,45
APOLLO,46
APPOLO,47
AQUILA,48
ARGO,49
ARGON,50
ARGON 18,51
ARIES,52
ARL,53
ASCOTT,54
ASPEN,55
ATALA,56
AUSTIN,57
AUTHOR,58
AUTO BIKE,59
AUTOMINI,60
AVALANCHE,61
AVANTI,62
AVENTON,63
AVIGO,64
AXIMA,65
AZ SOURCES,66
AZOR,67
B BREEZER,68
B'TWIN,69
B-TWIN,70
BA,71
BABYLON,72
BAJA,73
BALLAD 56,74
BANANA,75
BARE,76
BARLETTA,77
BASSO,78
BATAVUS,79
BATAVUS FRYSLYN,80
BATCH,81
BAYMAK,82
BEACHMAN,83
BEACHMEN,84
BEAR,85
BEAR MOUNTAIN,86
BEECH CRUISER,87
BEJING,88
BENT,89
BENTLEY,90
BERIA,91
BERLIN,92
BI,93
BIANCHI,94
BICYSTAR,95
BIKE,96
BIKE SHARE,97
BIKE SHARE T.O,98
BIKE SHARE TORO,99
BIKE TORONTO,100
BIKESHARE,101
BIKESHARET.O,102
BIKTRIX,103
BIOMEGA,104
BIRA,105
BIRIA,106
BIRZY,107
BISON,108
BIXI,109
BL,110
BLACK,111
BLACK DIAMOND,112
BLACK LABEL,113
BLACKBALL,114
BLADE,115
BLATU,116
BLUE AVENUE,117
BLUE GIANT,118
BLUE ICE,119
BLUE MOUNTAIN,120
BLUTRON,121
BMC,122
BMW,123
BMX,124
BOBBIN,125
BONELLI,126
BONTRAGER,127
BOROUGH,128
BOTTECCHIA,129
BOULDER,130
BREEZER,131
BRIANT ROAM,132
BRIDGESTONE,133
BROADIE,134
BRODIE,135
BROMPTON,136
BROOKLYN,137
BT WIN,138
BTWIN,139
BULLS,140
BURLEY,141
BUTTER,142
BYRON BIKES,143
CA,144
CADEX,145
CAMAROWTI,146
CAMBER,147
CAMION,148
CAMPAGNOLO,149
CAN TIRE,150
CAN. TIRE,151
CANADIAN TIRE,152
CANADIANA,153
CANN,154
CANNADALE,155
CANNANDALE,156
CANNON,157
CANNONDALE,158
CANNONDALR,159
CANONDALE,160
CANTURION,161
CANYON,162
CAPITOL,163
CAPIX,164
CARA,165
CARRERA,166
CARVER,167
CATALYST,168
CC,169
CCM,170
CCM 26 APEX 19,171
CCM PRAGUE,172
CDN TIRE,173
CERV,174
CERVELLO,175
CERVELO,176
CHALLENGER,177
CHAMPION,178
CHARGE,179
CHEROKEE,180
CHILDS,181
CHWINN,182
CINELLI,183
CINELLI VIGOREL,184
CIPHER,185
CITI PLUS,186
CITY BIKE,187
CITY HYBRID,188
CIVIA,189
CLASSIC,190
CLAUDE BUTLER,191
CLIQ,192
CMT,193
CODEX,194
COLANGO,195
COLNAGO,196
COLONY,197
COLUMBIA,198
CONA,199
CONCORD,200
CONCORDE,201
COSTCO,202
CR,203
CRITICAL,204
CRITICAL CYCLE,205
CRITICAL CYCLES,206
CRITICIAL CYCLE,207
CRONUS,208
CROSS PHANTOM,209
CROSS TRAIL,210
CROSSROADS,211
CROSSTRAIL,212
CTM,213
CUBE,214
CUBE AIM,215
CULOMBS,216
CULT,217
CUSTOM,218
CUSTOM MADE,219
CYCLE MANIA,220
CYCLEMANIA,221
CYCLING,222
CYCLOCROSS,223
CYCLONE,224
CYGOLITE,225
DA VINCI,226
DAHLON,227
DAHO,228
DAHON,229
DAHONE,230
DAMA,231
DAMAK,232
DAMAKI,233
DAMCO,234
DANALI,235
DARTMOOR,236
DAS-KIT AMEGO,237
DAVINCI,238
DAWES,239
DAY MARK PARIS,240
DAYBAK,241
DAYM,242
DAYMAC,243
DAYMACK,244
DAYMAK,245
DAYMAR,246
DAYMARK,247
DAYTONA,248
DB,249
DCO,250
DCO 702 18 INCH,251
DDOREL INDUSTRY,252
DECACHLON,253
DECATHALON,254
DECATHLON,255
DECORATION,256
DEL SOL,257
DEL SOL PROJEKT,258
DELSOL,259
DEVI,260
DEVICE,261
DEVINCI,262
DIABORA,263
DIADORA,264
DIAGORA,265
DIAM,266
DIAMANT,267
DIAMON,268
DIAMOND,269
