Original Category,Encoded Value
Agincourt North (129),0
Agincourt South-Malvern West (128),1
Alderwood (20),2
Annex (95),3
Banbury-Don Mills (42),4
Bathurst Manor (34),5
Bay Street Corridor (76),6
Bayview Village (52),7
Bayview Woods-Steeles (49),8
Bedford Park-Nortown (39),9
Beechborough-Greenbrook (112),10
Bendale (127),11
Birchcliffe-Cliffside (122),12
Black Creek (24),13
Blake-Jones (69),14
Briar Hill-Belgravia (108),15
Bridle Path-Sunnybrook-York Mills (41),16
Broadview North (57),17
Brookhaven-Amesbury (30),18
Cabbagetown-South St.James Town (71),19
Caledonia-Fairbank (109),20
Casa Loma (96),21
Centennial Scarborough (133),22
Church-Yonge Corridor (75),23
Clairlea-Birchmount (120),24
Clanton Park (33),25
Cliffcrest (123),26
Corso Italia-Davenport (92),27
Danforth (66),28
Danforth East York (59),29
Don Valley Village (47),30
Dorset Park (126),31
Dovercourt-Wallace Emerson-Junction (93),32
Downsview-Roding-CFB (26),33
Dufferin Grove (83),34
East End-Danforth (62),35
Edenbridge-Humber Valley (9),36
Eglinton East (138),37
Elms-Old Rexdale (5),38
Englemount-Lawrence (32),39
Eringate-Centennial-West Deane (11),40
Etobicoke West Mall (13),41
Flemingdon Park (44),42
Forest Hill North (102),43
Forest Hill South (101),44
Glenfield-Jane Heights (25),45
Greenwood-Coxwell (65),46
Guildwood (140),47
Henry Farm (53),48
High Park North (88),49
High Park-Swansea (87),50
Highland Creek (134),51
Hillcrest Village (48),52
Humber Heights-Westmount (8),53
Humber Summit (21),54
Humbermede (22),55
Humewood-Cedarvale (106),56
Ionview (125),57
Islington-City Centre West (14),58
Junction Area (90),59
Keelesdale-Eglinton West (110),60
Kennedy Park (124),61
Kensington-Chinatown (78),62
Kingsview Village-The Westway (6),63
Kingsway South (15),64
L'Amoreaux (117),65
Lambton Baby Point (114),66
Lansing-Westgate (38),67
Lawrence Park North (105),68
Lawrence Park South (103),69
Leaside-Bennington (56),70
Little Portugal (84),71
Long Branch (19),72
Malvern (132),73
Maple Leaf (29),74
Markland Wood (12),75
Milliken (130),76
Mimico (includes Humber Bay Shores) (17),77
Morningside (135),78
Moss Park (73),79
Mount Dennis (115),80
Mount Olive-Silverstone-Jamestown (2),81
Mount Pleasant East (99),82
Mount Pleasant West (104),83
NSA,84
New Toronto (18),85
Newtonbrook East (50),86
Newtonbrook West (36),87
Niagara (82),88
North Riverdale (68),89
North St.James Town (74),90
O'Connor-Parkview (54),91
Oakridge (121),92
Oakwood Village (107),93
Old East York (58),94
Palmerston-Little Italy (80),95
Parkwoods-Donalda (45),96
Pelmo Park-Humberlea (23),97
Playter Estates-Danforth (67),98
Pleasant View (46),99
Princess-Rosethorn (10),100
Regent Park (72),101
Rexdale-Kipling (4),102
Rockcliffe-Smythe (111),103
Roncesvalles (86),104
Rosedale-Moore Park (98),105
Rouge (131),106
Runnymede-Bloor West Village (89),107
Rustic (28),108
Scarborough Village (139),109
South Parkdale (85),110
South Riverdale (70),111
St.Andrew-Windfields (40),112
Steeles (116),113
Stonegate-Queensway (16),114
Tam O'Shanter-Sullivan (118),115
Taylor-Massey (61),116
The Beaches (63),117
Thistletown-Beaumond Heights (3),118
Thorncliffe Park (55),119
Trinity-Bellwoods (81),120
University (79),121
Victoria Village (43),122
Waterfront Communities-The Island (77),123
West Hill (136),124
West Humber-Clairville (1),125
Westminster-Branson (35),126
Weston (113),127
Weston-Pelham Park (91),128
Wexford/Maryvale (119),129
Willowdale East (51),130
Willowdale West (37),131
Willowridge-Martingrove-Richview (7),132
Woburn (137),133
Woodbine Corridor (64),134
Woodbine-Lumsden (60),135
Wychwood (94),136
Yonge-Eglinton (100),137
Yonge-St.Clair (97),138
York University Heights (27),139
Yorkdale-Glen Park (31),140
